epi_week,date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants,vaccinated,vaccinated_per_100k_inhabitants,vaccinated_second,vaccinated_second_per_100k_inhabitants
115,2021-04-16,Brazil,RN,TOTAL,9,5093,0,212802,5045,211050,145.22993,6068.17565,0.02393,150649,52838,679086,19364.54137,414423,11817.51844,122773,3500.94515
115,2021-04-16,Brazil,RO,TOTAL,33,4737,1452,203300,4737,203300,266.53913,11439.18187,0.02330,180089,278705,529325,29783.79215,158120,8897.01642,46574,2620.60234
115,2021-04-16,Brazil,RR,TOTAL,10,1445,315,93574,1435,93259,238.54292,15447.34640,0.01544,85381,41093,219083,36166.57395,60264,9948.47803,27956,4615.02144
115,2021-04-16,Brazil,RS,TOTAL,179,22977,5036,915558,22977,915558,201.95585,8047.27755,0.02510,877989,13610,3500110,30764.14234,1901102,16709.69556,514451,4521.75611
115,2021-04-16,Brazil,SC,TOTAL,71,12480,3678,852350,12480,852350,174.18520,11896.37432,0.01464,815227,148451,1827719,25509.74293,859583,11997.32637,322032,4494.64799
115,2021-04-16,Brazil,SE,TOTAL,27,3903,1003,188659,3903,188659,169.79192,8207.21835,0.02069,170284,2320,386688,16822.05912,268869,11696.58798,96335,4190.85429
115,2021-04-16,Brazil,SP,TOTAL,791,87326,17979,2722077,87326,2722077,190.17380,5927.99080,0.03208,2333565,1088735,12035827,26210.96748,6012103,13092.82995,2885982,6284.93417
115,2021-04-16,Brazil,TO,TOTAL,12,2357,775,152684,2348,151909,149.85383,9707.37494,0.01544,130970,405,460233,29260.78890,142815,9079.92162,45112,2868.14007
115,2021-04-16,Brazil,TOTAL,TOTAL,3337,369272,84387,13843594,368749,13832455,174.38587,6537.53100,0.02667,12173458,5514677,43152651,20378.50817,25810304,12188.71793,9183144,4336.66926
115,2021-04-17,Brazil,AC,TOTAL,10,1405,287,75334,1405,75334,159.30879,8541.89935,0.01865,62122,44233,193561,21947.30904,82890,9398.65183,21448,2431.92526
115,2021-04-17,Brazil,AL,TOTAL,23,3944,1057,165461,3944,165461,118.17735,4957.84538,0.02384,156735,8803,402223,12052.14186,409739,12277.35001,140288,4203.56588
115,2021-04-17,Brazil,AM,TOTAL,10,12362,701,363102,12362,363102,298.26784,8760.85178,0.03405,309603,410,904290,21818.52663,533455,12871.09458,196149,4732.64349
